X,Y,V
1,1,0.0
2,1,0.0
3,1,0.0
4,1,1.0
5,1,1.0
6,1,2.0
7,1,1.0
8,1,1.0
9,1,1.0
10,1,2.0
11,1,1.0
12,1,1.0
13,1,1.0
14,1,1.0
15,1,2.0
16,1,1.0
17,1,0.0
18,1,1.0
19,1,1.0
20,1,0.0
21,1,2.0
22,1,2.0
23,1,3.0
24,1,4.0
25,1,4.0
26,1,4.0
27,1,4.0
28,1,4.0
29,1,4.0
30,1,4.0
31,1,4.0
32,1,3.0
33,1,1.0
34,1,0.0
35,1,0.0
36,1,4.0
37,1,4.0
38,1,4.0
39,1,4.0
40,1,4.0
41,1,4.0
42,1,2.0
43,1,2.0
44,1,2.0
45,1,1.0
46,1,0.0
47,1,0.0
48,1,0.0
49,1,1.0
50,1,1.0
51,1,1.0
52,1,0.0
53,1,0.0
54,1,1.0
55,1,0.0
56,1,0.0
57,1,0.0
58,1,0.0
59,1,0.0
60,1,2.0
61,1,2.0
62,1,1.0
63,1,2.0
64,1,2.0
65,1,1.0
66,1,2.0
67,1,3.0
68,1,3.0
69,1,2.0
70,1,2.0
71,1,2.0
72,1,3.0
73,1,3.0
74,1,3.0
75,1,3.0
76,1,4.0
77,1,3.0
78,1,3.0
79,1,3.0
80,1,2.0
81,1,2.0
82,1,1.0
83,1,1.0
84,1,1.0
85,1,2.0
86,1,1.0
87,1,2.0
88,1,1.0
89,1,0.0
90,1,0.0
91,1,0.0
92,1,0.0
93,1,2.0
94,1,0.0
95,1,0.0
96,1,0.0
97,1,0.0
98,1,0.0
99,1,0.0
100,1,0.0
1,2,1.0
2,2,0.0
3,2,0.0
4,2,1.0
5,2,0.0
6,2,2.0
7,2,2.0
8,2,2.0
9,2,2.0
10,2,3.0
11,2,3.0
12,2,1.0
13,2,1.0
14,2,2.0
15,2,2.0
16,2,1.0
17,2,1.0
18,2,2.0
19,2,2.0
20,2,1.0
21,2,2.0
22,2,3.0
23,2,4.0
24,2,4.0
25,2,4.0
26,2,4.0
27,2,4.0
28,2,4.0
29,2,4.0
30,2,4.0
31,2,4.0
32,2,3.0
33,2,2.0
34,2,1.0
35,2,4.0
36,2,4.0
37,2,4.0
38,2,4.0
39,2,4.0
40,2,4.0
41,2,1.0
42,2,2.0
43,2,2.0
44,2,2.0
45,2,1.0
46,2,0.0
47,2,0.0
48,2,1.0
49,2,0.0
50,2,1.0
51,2,2.0
52,2,1.0
53,2,0.0
54,2,0.0
55,2,0.0
56,2,0.0
57,2,0.0
58,2,0.0
59,2,0.0
60,2,0.0
61,2,0.0
62,2,0.0
63,2,0.0
64,2,1.0
65,2,2.0
66,2,2.0
67,2,3.0
68,2,3.0
69,2,3.0
70,2,3.0
71,2,2.0
72,2,2.0
73,2,3.0
74,2,3.0
75,2,4.0
76,2,3.0
77,2,4.0
78,2,4.0
79,2,3.0
80,2,2.0
81,2,2.0
82,2,1.0
83,2,0.0
84,2,2.0
85,2,2.0
86,2,1.0
87,2,1.0
88,2,1.0
89,2,0.0
90,2,0.0
91,2,0.0
92,2,0.0
93,2,0.0
94,2,0.0
95,2,1.0
96,2,0.0
97,2,1.0
98,2,1.0
99,2,1.0
100,2,1.0
1,3,0.0
2,3,1.0
3,3,0.0
4,3,0.0
5,3,1.0
6,3,2.0
7,3,1.0
8,3,1.0
9,3,1.0
10,3,2.0
11,3,2.0
12,3,2.0
13,3,2.0
14,3,2.0
15,3,2.0
16,3,1.0
17,3,3.0
18,3,3.0
19,3,3.0
20,3,2.0
21,3,2.0
22,3,3.0
23,3,3.0
24,3,4.0
25,3,4.0
26,3,4.0
27,3,4.0
28,3,4.0
29,3,4.0
30,3,4.0
31,3,4.0
32,3,3.0
33,3,1.0
34,3,4.0
35,3,4.0
36,3,4.0
37,3,4.0
38,3,4.0
39,3,4.0
40,3,3.0
41,3,1.0
42,3,2.0
43,3,3.0
44,3,2.0
45,3,1.0
46,3,0.0
47,3,0.0
48,3,1.0
49,3,0.0
50,3,0.0
51,3,1.0
52,3,1.0
53,3,1.0
54,3,0.0
55,3,0.0
56,3,0.0
57,3,0.0
58,3,0.0
59,3,1.0
60,3,0.0
61,3,0.0
62,3,1.0
63,3,0.0
64,3,0.0
65,3,1.0
66,3,1.0
67,3,0.0
68,3,2.0
69,3,3.0
70,3,3.0
71,3,3.0
72,3,3.0
73,3,4.0
74,3,4.0
75,3,4.0
76,3,3.0
77,3,4.0
78,3,3.0
79,3,3.0
80,3,1.0
81,3,1.0
82,3,1.0
83,3,1.0
84,3,2.0
85,3,2.0
86,3,1.0
87,3,1.0
88,3,0.0
89,3,0.0
90,3,0.0
91,3,0.0
92,3,0.0
93,3,0.0
94,3,0.0
95,3,2.0
96,3,1.0
97,3,0.0
98,3,2.0
99,3,2.0
100,3,1.0
1,4,0.0
2,4,0.0
3,4,1.0
4,4,1.0
5,4,1.0
6,4,1.0
7,4,0.0
8,4,0.0
9,4,1.0
10,4,1.0
11,4,2.0
12,4,3.0
13,4,2.0
14,4,3.0
15,4,3.0
16,4,2.0
17,4,3.0
18,4,3.0
19,4,3.0
20,4,2.0
21,4,1.0
22,4,2.0
23,4,3.0
24,4,4.0
25,4,4.0
26,4,4.0
27,4,4.0
28,4,4.0
29,4,4.0
30,4,4.0
31,4,4.0
32,4,3.0
33,4,4.0
34,4,4.0
35,4,4.0
36,4,4.0
37,4,4.0
38,4,4.0
39,4,2.0
40,4,0.0
41,4,1.0
42,4,1.0
43,4,3.0
44,4,3.0
45,4,1.0
46,4,1.0
47,4,0.0
48,4,0.0
49,4,0.0
50,4,0.0
51,4,0.0
52,4,1.0
53,4,1.0
54,4,1.0
55,4,1.0
56,4,1.0
57,4,0.0
58,4,1.0
59,4,0.0
60,4,0.0
61,4,0.0
62,4,0.0
63,4,0.0
64,4,0.0
65,4,0.0
66,4,0.0
67,4,0.0
68,4,1.0
69,4,3.0
70,4,3.0
71,4,3.0
72,4,4.0
73,4,4.0
74,4,4.0
75,4,3.0
76,4,3.0
77,4,3.0
78,4,3.0
79,4,2.0
80,4,1.0
81,4,1.0
82,4,1.0
83,4,1.0
84,4,0.0
85,4,1.0
86,4,1.0
87,4,1.0
88,4,1.0
89,4,1.0
90,4,0.0
91,4,1.0
92,4,0.0
93,4,0.0
94,4,0.0
95,4,1.0
96,4,0.0
97,4,1.0
98,4,2.0
99,4,2.0
100,4,2.0
1,5,0.0
2,5,0.0
3,5,0.0
4,5,0.0
5,5,2.0
6,5,0.0
7,5,0.0
8,5,0.0
9,5,0.0
10,5,0.0
11,5,3.0
12,5,2.0
13,5,2.0
14,5,3.0
15,5,3.0
16,5,2.0
17,5,2.0
18,5,3.0
19,5,2.0
20,5,3.0
21,5,2.0
22,5,3.0
23,5,3.0
24,5,4.0
25,5,4.0
26,5,4.0
27,5,4.0
28,5,4.0
29,5,4.0
30,5,4.0
31,5,4.0
32,5,4.0
33,5,4.0
34,5,4.0
35,5,4.0
36,5,4.0
37,5,4.0
38,5,3.0
39,5,0.0
40,5,0.0
41,5,1.0
42,5,1.0
43,5,1.0
44,5,2.0
45,5,1.0
46,5,1.0
47,5,0.0
48,5,0.0
49,5,0.0
50,5,0.0
51,5,0.0
52,5,1.0
53,5,1.0
54,5,2.0
55,5,2.0
56,5,1.0
57,5,1.0
58,5,0.0
59,5,0.0
60,5,0.0
61,5,0.0
62,5,0.0
63,5,0.0
64,5,0.0
65,5,0.0
66,5,0.0
67,5,1.0
68,5,2.0
69,5,2.0
70,5,3.0
71,5,3.0
72,5,3.0
73,5,4.0
74,5,4.0
75,5,4.0
76,5,3.0
77,5,3.0
78,5,3.0
79,5,1.0
80,5,1.0
81,5,0.0
82,5,0.0
83,5,1.0
84,5,1.0
85,5,0.0
86,5,0.0
87,5,1.0
88,5,1.0
89,5,0.0
90,5,2.0
91,5,0.0
92,5,1.0
93,5,0.0
94,5,1.0
95,5,2.0
96,5,2.0
97,5,2.0
98,5,3.0
99,5,3.0
100,5,3.0
1,6,0.0
2,6,0.0
3,6,1.0
4,6,0.0
5,6,0.0
6,6,0.0
7,6,0.0
8,6,0.0
9,6,0.0
10,6,0.0
11,6,2.0
12,6,1.0
13,6,1.0
14,6,3.0
15,6,3.0
16,6,3.0
17,6,2.0
18,6,2.0
19,6,2.0
20,6,2.0
21,6,2.0
22,6,2.0
23,6,3.0
24,6,4.0
25,6,4.0
26,6,4.0
27,6,4.0
28,6,4.0
29,6,4.0
30,6,4.0
31,6,4.0
32,6,4.0
33,6,3.0
34,6,4.0
35,6,4.0
36,6,4.0
37,6,4.0
38,6,0.0
39,6,0.0
40,6,0.0
41,6,1.0
42,6,1.0
43,6,2.0
44,6,1.0
45,6,1.0
46,6,1.0
47,6,0.0
48,6,0.0
49,6,0.0
50,6,0.0
51,6,0.0
52,6,1.0
53,6,1.0
54,6,0.0
55,6,0.0
56,6,0.0
57,6,0.0
58,6,0.0
59,6,0.0
60,6,0.0
61,6,0.0
62,6,0.0
63,6,0.0
64,6,0.0
65,6,0.0
66,6,0.0
67,6,1.0
68,6,2.0
69,6,3.0
70,6,3.0
71,6,3.0
72,6,3.0
73,6,3.0
74,6,4.0
75,6,3.0
76,6,3.0
77,6,2.0
78,6,1.0
79,6,1.0
80,6,1.0
81,6,1.0
82,6,3.0
83,6,2.0
84,6,2.0
85,6,3.0
86,6,3.0
87,6,1.0
88,6,1.0
89,6,1.0
90,6,1.0
91,6,1.0
92,6,0.0
93,6,0.0
94,6,1.0
95,6,3.0
96,6,3.0
97,6,3.0
98,6,3.0
99,6,4.0
100,6,4.0
1,7,0.0
2,7,0.0
3,7,1.0
4,7,0.0
5,7,0.0
6,7,0.0
7,7,0.0
8,7,0.0
9,7,0.0
10,7,0.0
11,7,0.0
12,7,1.0
13,7,2.0
14,7,1.0
15,7,3.0
16,7,3.0
17,7,2.0
18,7,1.0
19,7,0.0
20,7,1.0
21,7,3.0
22,7,3.0
23,7,3.0
24,7,1.0
25,7,4.0
26,7,4.0
27,7,4.0
28,7,4.0
29,7,4.0
30,7,4.0
31,7,4.0
32,7,4.0
33,7,3.0
34,7,4.0
35,7,4.0
36,7,4.0
37,7,0.0
38,7,0.0
39,7,0.0
40,7,1.0
41,7,2.0
42,7,2.0
43,7,1.0
44,7,2.0
45,7,1.0
46,7,1.0
47,7,0.0
48,7,0.0
49,7,0.0
50,7,1.0
51,7,0.0
52,7,1.0
53,7,0.0
54,7,0.0
55,7,0.0
56,7,0.0
57,7,0.0
58,7,0.0
59,7,0.0
60,7,0.0
61,7,0.0
62,7,0.0
63,7,0.0
64,7,1.0
65,7,1.0
66,7,2.0
67,7,2.0
68,7,3.0
69,7,3.0
70,7,3.0
71,7,3.0
72,7,3.0
73,7,3.0
74,7,4.0
75,7,4.0
76,7,3.0
77,7,2.0
78,7,3.0
79,7,0.0
80,7,1.0
81,7,1.0
82,7,2.0
83,7,3.0
84,7,2.0
85,7,1.0
86,7,1.0
87,7,0.0
88,7,2.0
89,7,1.0
90,7,2.0
91,7,1.0
92,7,2.0
93,7,3.0
94,7,2.0
95,7,3.0
96,7,3.0
97,7,3.0
98,7,4.0
99,7,4.0
100,7,4.0
1,8,0.0
2,8,0.0
3,8,0.0
4,8,0.0
5,8,0.0
6,8,0.0
7,8,1.0
8,8,0.0
9,8,1.0
10,8,1.0
11,8,2.0
12,8,0.0
13,8,1.0
14,8,1.0
15,8,2.0
16,8,2.0
17,8,1.0
18,8,1.0
19,8,2.0
20,8,1.0
21,8,1.0
22,8,2.0
23,8,2.0
24,8,0.0
25,8,4.0
26,8,4.0
27,8,4.0
28,8,4.0
29,8,4.0
30,8,4.0
31,8,4.0
32,8,4.0
33,8,3.0
34,8,4.0
35,8,4.0
36,8,0.0
37,8,0.0
38,8,0.0
39,8,0.0
40,8,2.0
41,8,3.0
42,8,2.0
43,8,1.0
44,8,1.0
45,8,2.0
46,8,2.0
47,8,0.0
48,8,0.0
49,8,0.0
50,8,1.0
51,8,1.0
52,8,1.0
53,8,0.0
54,8,0.0
55,8,0.0
56,8,0.0
57,8,1.0
58,8,0.0
59,8,0.0
60,8,0.0
61,8,0.0
62,8,0.0
63,8,0.0
64,8,0.0
65,8,0.0
66,8,1.0
67,8,2.0
68,8,2.0
69,8,2.0
70,8,3.0
71,8,2.0
72,8,3.0
73,8,3.0
74,8,4.0
75,8,3.0
76,8,3.0
77,8,3.0
78,8,2.0
79,8,1.0
80,8,1.0
81,8,1.0
82,8,2.0
83,8,2.0
84,8,2.0
85,8,2.0
86,8,3.0
87,8,1.0
88,8,2.0
89,8,3.0
90,8,2.0
91,8,1.0
92,8,2.0
93,8,3.0
94,8,3.0
95,8,3.0
96,8,3.0
97,8,3.0
98,8,4.0
99,8,4.0
100,8,4.0
1,9,0.0
2,9,0.0
3,9,1.0
4,9,0.0
5,9,0.0
6,9,1.0
7,9,2.0
8,9,1.0
9,9,2.0
10,9,2.0
11,9,1.0
12,9,2.0
13,9,1.0
14,9,1.0
15,9,2.0
16,9,3.0
17,9,3.0
18,9,2.0
19,9,3.0
20,9,2.0
21,9,2.0
22,9,2.0
23,9,2.0
24,9,0.0
25,9,4.0
26,9,4.0
27,9,4.0
28,9,4.0
29,9,4.0
30,9,4.0
31,9,4.0
32,9,4.0
33,9,3.0
34,9,4.0
35,9,0.0
36,9,0.0
37,9,1.0
38,9,0.0
39,9,0.0
40,9,1.0
41,9,1.0
42,9,2.0
43,9,2.0
44,9,3.0
45,9,2.0
46,9,1.0
47,9,1.0
48,9,0.0
49,9,0.0
50,9,0.0
51,9,0.0
52,9,0.0
53,9,0.0
54,9,0.0
55,9,0.0
56,9,0.0
57,9,0.0
58,9,0.0
59,9,0.0
60,9,0.0
61,9,0.0
62,9,0.0
63,9,0.0
64,9,0.0
65,9,0.0
66,9,1.0
67,9,1.0
