X,Y,V
1.0,3.0,0.0
5.0,2.0,0.0
8.0,3.0,0.0
10.0,3.0,1.0
13.0,1.0,0.0
17.0,3.0,1.0
21.0,3.0,1.0
24.0,3.0,2.0
26.0,1.0,2.0
30.0,2.0,2.0
32.0,2.0,2.0
34.0,3.0,2.0
39.0,2.0,2.0
41.0,3.0,0.0
44.0,2.0,1.0
47.0,1.0,0.0
49.0,2.0,0.0
54.0,1.0,0.0
57.0,3.0,0.0
58.0,2.0,0.0
61.0,3.0,0.0
66.0,2.0,1.0
67.0,3.0,0.0
71.0,3.0,2.0
75.0,3.0,2.0
78.0,1.0,2.0
80.0,2.0,1.0
83.0,1.0,0.0
86.0,1.0,0.0
90.0,3.0,0.0
93.0,3.0,0.0
95.0,3.0,1.0
98.0,1.0,0.0
3.0,5.0,0.0
4.0,5.0,0.0
9.0,4.0,0.0
11.0,4.0,1.0
15.0,5.0,1.0
16.0,4.0,1.0
20.0,6.0,1.0
24.0,5.0,2.0
25.0,6.0,2.0
29.0,6.0,2.0
31.0,4.0,2.0
36.0,6.0,2.0
38.0,6.0,0.0
42.0,5.0,1.0
45.0,4.0,0.0
46.0,6.0,0.0
50.0,4.0,0.0
54.0,4.0,0.0
57.0,4.0,0.0
60.0,6.0,0.0
63.0,5.0,0.0
65.0,6.0,0.0
67.0,6.0,0.0
71.0,5.0,2.0
74.0,5.0,2.0
76.0,4.0,2.0
79.0,4.0,1.0
83.0,6.0,1.0
86.0,5.0,0.0
90.0,5.0,1.0
91.0,6.0,0.0
95.0,5.0,1.0
98.0,5.0,2.0
1.0,8.0,0.0
6.0,7.0,0.0
8.0,7.0,0.0
11.0,8.0,1.0
15.0,7.0,2.0
16.0,8.0,1.0
21.0,9.0,1.0
22.0,7.0,1.0
27.0,7.0,2.0
30.0,7.0,2.0
33.0,7.0,2.0
35.0,8.0,2.0
37.0,8.0,0.0
41.0,9.0,1.0
45.0,8.0,1.0
47.0,8.0,0.0
50.0,9.0,0.0
52.0,7.0,1.0
56.0,7.0,0.0
58.0,7.0,0.0
63.0,9.0,0.0
66.0,8.0,0.0
69.0,7.0,2.0
72.0,8.0,1.0
75.0,7.0,2.0
77.0,9.0,1.0
80.0,8.0,1.0
82.0,8.0,1.0
85.0,7.0,0.0
90.0,8.0,1.0
92.0,8.0,1.0
96.0,7.0,2.0
98.0,7.0,2.0
2.0,12.0,0.0
5.0,12.0,0.0
8.0,12.0,1.0
11.0,10.0,1.0
15.0,12.0,0.0
16.0,12.0,0.0
19.0,12.0,1.0
24.0,11.0,1.0
27.0,10.0,2.0
28.0,10.0,2.0
32.0,12.0,2.0
34.0,11.0,1.0
39.0,10.0,0.0
42.0,10.0,0.0
45.0,11.0,0.0
47.0,10.0,0.0
50.0,12.0,0.0
52.0,12.0,0.0
56.0,12.0,0.0
59.0,11.0,0.0
61.0,11.0,0.0
64.0,11.0,0.0
67.0,11.0,0.0
71.0,10.0,1.0
75.0,11.0,2.0
78.0,10.0,2.0
79.0,11.0,2.0
82.0,10.0,2.0
86.0,10.0,2.0
90.0,10.0,2.0
91.0,11.0,2.0
96.0,10.0,2.0
97.0,12.0,0.0
3.0,14.0,0.0
5.0,14.0,0.0
8.0,14.0,0.0
10.0,13.0,0.0
13.0,15.0,0.0
17.0,14.0,0.0
20.0,15.0,1.0
22.0,13.0,2.0
25.0,14.0,2.0
30.0,14.0,2.0
32.0,15.0,2.0
34.0,14.0,2.0
38.0,14.0,0.0
42.0,13.0,0.0
45.0,13.0,0.0
47.0,14.0,0.0
51.0,14.0,0.0
52.0,13.0,0.0
56.0,15.0,1.0
58.0,15.0,0.0
62.0,13.0,0.0
64.0,14.0,0.0
67.0,13.0,0.0
71.0,15.0,0.0
73.0,13.0,2.0
76.0,14.0,1.0
81.0,15.0,1.0
84.0,15.0,2.0
85.0,13.0,2.0
89.0,15.0,1.0
93.0,13.0,2.0
94.0,13.0,2.0
97.0,14.0,1.0
2.0,17.0,1.0
4.0,18.0,0.0
8.0,18.0,0.0
12.0,16.0,0.0
13.0,18.0,0.0
17.0,16.0,2.0
20.0,17.0,1.0
24.0,16.0,2.0
27.0,18.0,2.0
28.0,16.0,1.0
32.0,16.0,2.0
34.0,17.0,2.0
39.0,18.0,2.0
40.0,18.0,2.0
43.0,18.0,0.0
48.0,18.0,2.0
49.0,18.0,1.0
52.0,17.0,1.0
56.0,16.0,1.0
58.0,18.0,2.0
62.0,17.0,0.0
65.0,17.0,1.0
69.0,16.0,0.0
72.0,18.0,1.0
74.0,16.0,2.0
76.0,18.0,2.0
81.0,16.0,1.0
82.0,16.0,2.0
85.0,18.0,2.0
90.0,16.0,2.0
93.0,16.0,2.0
95.0,17.0,0.0
99.0,18.0,1.0
1.0,19.0,0.0
4.0,19.0,0.0
9.0,21.0,0.0
10.0,21.0,1.0
14.0,20.0,0.0
17.0,19.0,1.0
21.0,19.0,2.0
22.0,19.0,2.0
25.0,19.0,2.0
28.0,21.0,0.0
33.0,19.0,1.0
34.0,20.0,2.0
39.0,21.0,2.0
42.0,20.0,2.0
44.0,19.0,2.0
48.0,21.0,2.0
49.0,21.0,2.0
52.0,21.0,2.0
57.0,19.0,2.0
59.0,19.0,1.0
62.0,21.0,0.0
64.0,20.0,0.0
69.0,19.0,1.0
70.0,20.0,1.0
74.0,20.0,2.0
76.0,21.0,2.0
80.0,19.0,2.0
84.0,21.0,2.0
86.0,19.0,2.0
89.0,20.0,2.0
91.0,20.0,2.0
96.0,19.0,0.0
99.0,19.0,0.0
3.0,23.0,1.0
4.0,24.0,1.0
7.0,23.0,0.0
10.0,24.0,0.0
15.0,24.0,1.0
17.0,23.0,2.0
20.0,24.0,2.0
24.0,22.0,2.0
26.0,22.0,2.0
28.0,24.0,0.0
31.0,24.0,1.0
35.0,22.0,1.0
38.0,23.0,0.0
42.0,23.0,2.0
45.0,24.0,2.0
48.0,23.0,2.0
49.0,23.0,2.0
52.0,23.0,2.0
57.0,23.0,2.0
58.0,23.0,2.0
63.0,24.0,1.0
64.0,23.0,1.0
68.0,22.0,1.0
70.0,22.0,1.0
75.0,24.0,2.0
78.0,24.0,1.0
81.0,22.0,1.0
84.0,22.0,2.0
86.0,23.0,2.0
89.0,22.0,2.0
91.0,24.0,1.0
94.0,22.0,1.0
99.0,22.0,0.0
3.0,27.0,1.0
5.0,25.0,1.0
7.0,25.0,0.0
11.0,25.0,0.0
14.0,25.0,1.0
17.0,25.0,2.0
21.0,25.0,2.0
22.0,25.0,2.0
27.0,25.0,1.0
29.0,26.0,1.0
32.0,27.0,0.0
36.0,26.0,0.0
39.0,25.0,0.0
42.0,26.0,0.0
45.0,27.0,1.0
48.0,27.0,0.0
50.0,25.0,2.0
53.0,25.0,2.0
57.0,25.0,2.0
58.0,25.0,2.0
62.0,26.0,1.0
66.0,26.0,2.0
67.0,25.0,2.0
70.0,26.0,2.0
75.0,26.0,2.0
78.0,25.0,1.0
79.0,27.0,1.0
82.0,25.0,2.0
86.0,27.0,1.0
90.0,25.0,1.0
93.0,27.0,0.0
96.0,27.0,0.0
97.0,27.0,0.0
1.0,30.0,1.0
5.0,30.0,0.0
8.0,29.0,0.0
11.0,30.0,0.0
15.0,28.0,1.0
18.0,29.0,2.0
19.0,29.0,2.0
24.0,30.0,2.0
27.0,29.0,2.0
30.0,29.0,0.0
33.0,29.0,0.0
34.0,28.0,0.0
37.0,28.0,0.0
41.0,29.0,1.0
43.0,29.0,0.0
47.0,28.0,1.0
50.0,29.0,0.0
53.0,29.0,2.0
