X,Y,V
32.0,37.0,2.0
85.0,23.0,2.0
56.0,31.0,2.0
61.0,59.0,2.0
1.0,73.0,0.0
1.0,67.0,0.0
11.0,46.0,1.0
20.0,14.0,1.0
81.0,43.0,1.0
72.0,39.0,2.0
43.0,91.0,2.0
13.0,107.0,1.0
35.0,29.0,0.0
5.0,63.0,0.0
30.0,34.0,2.0
2.0,70.0,0.0
51.0,63.0,2.0
11.0,56.0,1.0
89.0,16.0,2.0
77.0,49.0,1.0
49.0,113.0,2.0
8.0,3.0,0.0
75.0,66.0,1.0
13.0,95.0,2.0
94.0,26.0,0.0
16.0,39.0,0.0
58.0,76.0,2.0
92.0,20.0,2.0
1.0,112.0,0.0
89.0,57.0,2.0
34.0,120.0,1.0
87.0,10.0,2.0
40.0,85.0,1.0
81.0,86.0,2.0
33.0,7.0,2.0
50.0,111.0,2.0
42.0,59.0,1.0
7.0,8.0,0.0
2.0,22.0,0.0
82.0,114.0,1.0
67.0,73.0,2.0
88.0,85.0,1.0
28.0,30.0,2.0
80.0,118.0,2.0
62.0,19.0,0.0
20.0,10.0,1.0
22.0,88.0,2.0
53.0,47.0,2.0
32.0,45.0,2.0
56.0,47.0,2.0
90.0,118.0,1.0
30.0,91.0,0.0
32.0,30.0,0.0
42.0,35.0,0.0
9.0,53.0,1.0
26.0,1.0,2.0
55.0,79.0,2.0
96.0,16.0,0.0
29.0,50.0,0.0
60.0,26.0,1.0
82.0,43.0,1.0
43.0,11.0,1.0
78.0,53.0,0.0
87.0,67.0,0.0
4.0,21.0,0.0
90.0,44.0,0.0
49.0,78.0,2.0
16.0,92.0,1.0
2.0,8.0,0.0
59.0,62.0,1.0
28.0,78.0,0.0
90.0,3.0,0.0
53.0,77.0,2.0
80.0,10.0,1.0
89.0,115.0,1.0
6.0,42.0,0.0
78.0,73.0,1.0
69.0,61.0,2.0
9.0,103.0,1.0
1.0,16.0,1.0
71.0,41.0,1.0
25.0,84.0,0.0
70.0,86.0,1.0
31.0,33.0,2.0
56.0,110.0,1.0
63.0,23.0,1.0
63.0,70.0,2.0
72.0,61.0,2.0
90.0,26.0,1.0
81.0,53.0,2.0
6.0,70.0,0.0
95.0,105.0,0.0
69.0,103.0,1.0
51.0,87.0,2.0
63.0,101.0,2.0
8.0,50.0,0.0
40.0,93.0,1.0
78.0,57.0,0.0
66.0,5.0,0.0
1.0,104.0,0.0
35.0,71.0,2.0
84.0,108.0,1.0
48.0,10.0,0.0
32.0,15.0,2.0
87.0,32.0,2.0
3.0,102.0,0.0
86.0,47.0,1.0
43.0,8.0,1.0
31.0,108.0,0.0
4.0,35.0,1.0
13.0,23.0,1.0
7.0,113.0,0.0
68.0,29.0,2.0
7.0,78.0,0.0
66.0,97.0,2.0
43.0,87.0,2.0
15.0,89.0,1.0
41.0,72.0,2.0
34.0,13.0,2.0
21.0,100.0,0.0
50.0,70.0,2.0
27.0,57.0,0.0
15.0,99.0,0.0
27.0,94.0,0.0
20.0,47.0,0.0
70.0,29.0,2.0
29.0,59.0,0.0
75.0,19.0,2.0
65.0,64.0,2.0
3.0,63.0,1.0
92.0,32.0,0.0
40.0,111.0,0.0
28.0,31.0,2.0
35.0,25.0,0.0
60.0,53.0,0.0
31.0,69.0,0.0
14.0,68.0,1.0
68.0,6.0,1.0
64.0,28.0,1.0
1.0,3.0,0.0
44.0,70.0,2.0
41.0,8.0,1.0
12.0,118.0,1.0
76.0,14.0,1.0
5.0,39.0,1.0
54.0,113.0,2.0
20.0,55.0,1.0
33.0,84.0,1.0
46.0,38.0,1.0
59.0,23.0,2.0
35.0,112.0,0.0
60.0,4.0,0.0
9.0,101.0,1.0
69.0,9.0,0.0
7.0,110.0,1.0
49.0,107.0,2.0
77.0,81.0,2.0
86.0,61.0,0.0
63.0,25.0,1.0
91.0,7.0,0.0
39.0,16.0,0.0
19.0,90.0,1.0
14.0,37.0,0.0
17.0,101.0,0.0
7.0,96.0,1.0
39.0,79.0,2.0
2.0,89.0,1.0
11.0,102.0,0.0
19.0,40.0,0.0
2.0,82.0,0.0
31.0,105.0,0.0
22.0,40.0,0.0
75.0,107.0,2.0
42.0,42.0,0.0
83.0,86.0,2.0
54.0,71.0,2.0
4.0,56.0,2.0
18.0,113.0,0.0
78.0,8.0,1.0
72.0,56.0,2.0
35.0,80.0,0.0
46.0,29.0,0.0
35.0,67.0,1.0
85.0,35.0,2.0
18.0,56.0,1.0
70.0,21.0,1.0
59.0,37.0,2.0
38.0,23.0,0.0
75.0,7.0,2.0
27.0,9.0,2.0
25.0,69.0,1.0
36.0,88.0,1.0
65.0,96.0,2.0
80.0,70.0,1.0
91.0,89.0,2.0
82.0,25.0,2.0
65.0,56.0,2.0
32.0,2.0,2.0
56.0,92.0,2.0
91.0,97.0,2.0
52.0,88.0,2.0
60.0,69.0,0.0
46.0,106.0,0.0
33.0,119.0,1.0
3.0,27.0,1.0
72.0,101.0,2.0
56.0,114.0,0.0
82.0,40.0,1.0
95.0,108.0,0.0
12.0,89.0,2.0
17.0,14.0,0.0
85.0,53.0,1.0
27.0,79.0,0.0
16.0,65.0,1.0
62.0,90.0,1.0
92.0,61.0,1.0
58.0,104.0,1.0
14.0,25.0,1.0
65.0,63.0,2.0
22.0,75.0,1.0
67.0,60.0,2.0
74.0,73.0,1.0
86.0,85.0,0.0
32.0,48.0,1.0
20.0,118.0,1.0
52.0,109.0,2.0
11.0,91.0,2.0
31.0,98.0,1.0
41.0,25.0,0.0
71.0,80.0,1.0
68.0,49.0,0.0
58.0,7.0,0.0
93.0,112.0,0.0
1.0,35.0,0.0
74.0,5.0,2.0
65.0,77.0,1.0
81.0,92.0,0.0
82.0,20.0,1.0
34.0,3.0,2.0
35.0,17.0,2.0
48.0,59.0,2.0
65.0,112.0,1.0
16.0,63.0,1.0
79.0,4.0,1.0
15.0,36.0,1.0
58.0,73.0,0.0
49.0,37.0,1.0
25.0,15.0,2.0
94.0,37.0,0.0
75.0,62.0,2.0
94.0,31.0,0.0
16.0,115.0,0.0
68.0,70.0,2.0
10.0,52.0,0.0
37.0,55.0,1.0
94.0,21.0,1.0
34.0,38.0,2.0
64.0,7.0,0.0
81.0,33.0,1.0
21.0,30.0,2.0
38.0,60.0,2.0
4.0,97.0,1.0
34.0,56.0,1.0
75.0,100.0,2.0
67.0,17.0,0.0
13.0,86.0,1.0
33.0,75.0,0.0
25.0,87.0,0.0
68.0,115.0,2.0
2.0,57.0,2.0
57.0,102.0,1.0
65.0,44.0,1.0
45.0,36.0,0.0
93.0,67.0,2.0
51.0,35.0,0.0
87.0,64.0,0.0
20.0,53.0,0.0
66.0,101.0,2.0
57.0,54.0,0.0
21.0,69.0,1.0
83.0,91.0,1.0
8.0,81.0,0.0
3.0,29.0,1.0
21.0,93.0,1.0
37.0,14.0,1.0
94.0,62.0,1.0
56.0,103.0,2.0
81.0,35.0,2.0
38.0,83.0,0.0
76.0,115.0,1.0
54.0,42.0,1.0
6.0,25.0,0.0
62.0,75.0,2.0
12.0,115.0,0.0
10.0,42.0,0.0
75.0,110.0,2.0
18.0,94.0,1.0
47.0,47.0,0.0
64.0,108.0,1.0
7.0,57.0,1.0
74.0,28.0,1.0
58.0,18.0,2.0
59.0,45.0,2.0
29.0,56.0,0.0
27.0,120.0,1.0
55.0,98.0,0.0
13.0,76.0,0.0
