X,Y,V
29.0,117.0,1.0
42.0,109.0,0.0
100.0,25.0,0.0
64.0,57.0,2.0
77.0,79.0,2.0
14.0,40.0,1.0
43.0,37.0,1.0
83.0,118.0,0.0
13.0,1.0,0.0
66.0,7.0,1.0
38.0,15.0,0.0
54.0,63.0,1.0
81.0,1.0,1.0
72.0,107.0,1.0
67.0,47.0,1.0
29.0,84.0,0.0
52.0,59.0,2.0
3.0,106.0,2.0
23.0,8.0,1.0
35.0,106.0,1.0
39.0,68.0,2.0
32.0,113.0,0.0
65.0,82.0,0.0
64.0,124.0,1.0
42.0,124.0,2.0
56.0,102.0,1.0
40.0,70.0,2.0
51.0,115.0,2.0
84.0,107.0,0.0
29.0,87.0,0.0
14.0,60.0,1.0
49.0,96.0,2.0
65.0,51.0,0.0
55.0,51.0,2.0
58.0,99.0,2.0
98.0,103.0,0.0
61.0,13.0,0.0
28.0,44.0,0.0
57.0,72.0,0.0
36.0,111.0,0.0
66.0,117.0,1.0
89.0,79.0,1.0
36.0,86.0,0.0
66.0,111.0,2.0
5.0,8.0,0.0
56.0,31.0,2.0
67.0,83.0,0.0
91.0,122.0,0.0
64.0,69.0,2.0
2.0,92.0,2.0
91.0,45.0,0.0
26.0,123.0,0.0
61.0,59.0,2.0
18.0,87.0,2.0
54.0,126.0,0.0
97.0,122.0,2.0
70.0,16.0,0.0
2.0,99.0,0.0
9.0,109.0,1.0
8.0,54.0,1.0
83.0,101.0,1.0
61.0,123.0,0.0
16.0,111.0,1.0
56.0,45.0,2.0
2.0,64.0,0.0
94.0,23.0,1.0
58.0,59.0,2.0
36.0,20.0,2.0
86.0,61.0,0.0
17.0,109.0,1.0
78.0,87.0,1.0
95.0,66.0,2.0
45.0,70.0,2.0
78.0,73.0,1.0
48.0,94.0,2.0
96.0,16.0,0.0
25.0,27.0,2.0
79.0,119.0,1.0
48.0,41.0,1.0
19.0,122.0,1.0
83.0,127.0,1.0
64.0,7.0,0.0
82.0,4.0,0.0
22.0,95.0,0.0
67.0,121.0,2.0
17.0,106.0,1.0
91.0,32.0,0.0
30.0,119.0,1.0
68.0,5.0,1.0
40.0,7.0,0.0
1.0,84.0,0.0
74.0,101.0,2.0
2.0,88.0,0.0
15.0,121.0,1.0
45.0,90.0,2.0
86.0,93.0,1.0
20.0,104.0,0.0
55.0,87.0,2.0
96.0,118.0,1.0
94.0,55.0,1.0
87.0,102.0,0.0
26.0,111.0,0.0
46.0,41.0,1.0
74.0,120.0,2.0
29.0,12.0,2.0
95.0,39.0,0.0
5.0,92.0,2.0
91.0,88.0,1.0
17.0,116.0,1.0
30.0,63.0,0.0
31.0,36.0,2.0
84.0,93.0,0.0
6.0,27.0,1.0
30.0,66.0,1.0
34.0,93.0,1.0
89.0,125.0,0.0
46.0,57.0,2.0
100.0,47.0,0.0
17.0,3.0,1.0
90.0,55.0,1.0
19.0,119.0,1.0
67.0,128.0,2.0
47.0,22.0,2.0
27.0,97.0,0.0
15.0,110.0,1.0
13.0,127.0,2.0
46.0,45.0,1.0
1.0,20.0,1.0
18.0,73.0,0.0
69.0,79.0,0.0
7.0,8.0,0.0
81.0,57.0,1.0
5.0,97.0,1.0
68.0,87.0,1.0
11.0,110.0,0.0
28.0,17.0,1.0
16.0,57.0,2.0
34.0,81.0,0.0
19.0,97.0,1.0
71.0,9.0,1.0
62.0,31.0,2.0
42.0,46.0,2.0
26.0,32.0,2.0
15.0,107.0,2.0
20.0,79.0,0.0
8.0,3.0,0.0
34.0,53.0,0.0
33.0,21.0,1.0
60.0,82.0,2.0
7.0,122.0,1.0
91.0,69.0,2.0
42.0,122.0,1.0
52.0,109.0,2.0
84.0,99.0,1.0
60.0,79.0,2.0
72.0,112.0,2.0
50.0,4.0,0.0
81.0,8.0,0.0
73.0,3.0,2.0
71.0,29.0,1.0
90.0,10.0,2.0
85.0,43.0,0.0
39.0,24.0,0.0
90.0,34.0,2.0
25.0,120.0,0.0
79.0,70.0,1.0
87.0,117.0,0.0
58.0,50.0,2.0
91.0,100.0,1.0
18.0,30.0,2.0
67.0,65.0,2.0
51.0,122.0,0.0
86.0,9.0,1.0
38.0,118.0,2.0
25.0,64.0,0.0
14.0,7.0,1.0
27.0,99.0,1.0
33.0,32.0,1.0
67.0,58.0,2.0
49.0,46.0,1.0
6.0,5.0,0.0
94.0,96.0,2.0
81.0,100.0,1.0
59.0,4.0,0.0
79.0,82.0,2.0
33.0,86.0,0.0
38.0,43.0,2.0
54.0,80.0,2.0
26.0,51.0,0.0
59.0,55.0,1.0
5.0,114.0,0.0
5.0,19.0,0.0
89.0,92.0,2.0
89.0,1.0,0.0
38.0,73.0,2.0
97.0,33.0,0.0
40.0,42.0,2.0
57.0,124.0,1.0
14.0,4.0,2.0
37.0,68.0,2.0
69.0,22.0,1.0
1.0,71.0,0.0
27.0,41.0,0.0
37.0,95.0,1.0
70.0,124.0,2.0
70.0,31.0,0.0
34.0,123.0,1.0
8.0,76.0,0.0
5.0,68.0,0.0
31.0,107.0,0.0
4.0,105.0,2.0
95.0,91.0,2.0
85.0,124.0,1.0
84.0,72.0,1.0
11.0,34.0,1.0
71.0,25.0,2.0
82.0,50.0,1.0
61.0,89.0,2.0
28.0,9.0,2.0
37.0,36.0,0.0
12.0,124.0,2.0
14.0,71.0,0.0
76.0,88.0,0.0
62.0,57.0,2.0
64.0,20.0,0.0
16.0,42.0,0.0
29.0,19.0,1.0
17.0,129.0,1.0
98.0,113.0,0.0
89.0,8.0,1.0
53.0,81.0,0.0
75.0,51.0,1.0
15.0,35.0,0.0
12.0,91.0,2.0
